{Instant food products} -> {hamburger meat} (conf: 0.380, supp: 0.003, lift: 11.421, conv: 1.559)
{berries} -> {other vegetables} (conf: 0.309, supp: 0.010, lift: 1.596, conv: 1.167)
{berries} -> {pastry} (conf: 0.128, supp: 0.004, lift: 1.444, conv: 1.045)
{berries} -> {pip fruit} (conf: 0.113, supp: 0.004, lift: 1.496, conv: 1.042)
{berries} -> {rolls/buns} (conf: 0.199, supp: 0.007, lift: 1.081, conv: 1.019)
{berries} -> {root vegetables} (conf: 0.199, supp: 0.007, lift: 1.824, conv: 1.112)
{berries} -> {sausage} (conf: 0.150, supp: 0.005, lift: 1.595, conv: 1.066)
{berries} -> {shopping bags} (conf: 0.150, supp: 0.005, lift: 1.521, conv: 1.060)
{berries} -> {soda} (conf: 0.220, supp: 0.007, lift: 1.263, conv: 1.059)
{berries} -> {tropical fruit} (conf: 0.202, supp: 0.007, lift: 1.923, conv: 1.121)
{whipped/sour cream} -> {berries} (conf: 0.126, supp: 0.009, lift: 3.797, conv: 1.106)
{berries} -> {whipped/sour cream} (conf: 0.272, supp: 0.009, lift: 3.797, conv: 1.275)
{berries} -> {whole milk} (conf: 0.355, supp: 0.012, lift: 1.388, conv: 1.154)
{berries} -> {yogurt} (conf: 0.318, supp: 0.011, lift: 2.280, conv: 1.262)
{beverages} -> {bottled water} (conf: 0.117, supp: 0.003, lift: 1.060, conv: 1.008)
{beverages} -> {fruit/vegetable juice} (conf: 0.109, supp: 0.003, lift: 1.513, conv: 1.042)
{beverages} -> {other vegetables} (conf: 0.199, supp: 0.005, lift: 1.030, conv: 1.007)
{beverages} -> {pastry} (conf: 0.125, supp: 0.003, lift: 1.405, conv: 1.041)
{beverages} -> {pip fruit} (conf: 0.109, supp: 0.003, lift: 1.446, conv: 1.038)
{beverages} -> {rolls/buns} (conf: 0.207, supp: 0.005, lift: 1.126, conv: 1.029)
{beverages} -> {root vegetables} (conf: 0.121, supp: 0.003, lift: 1.111, conv: 1.014)
{beverages} -> {sausage} (conf: 0.105, supp: 0.003, lift: 1.123, conv: 1.013)
{beverages} -> {shopping bags} (conf: 0.117, supp: 0.003, lift: 1.189, conv: 1.021)
{beverages} -> {soda} (conf: 0.184, supp: 0.005, lift: 1.053, conv: 1.011)
{beverages} -> {tropical fruit} (conf: 0.164, supp: 0.004, lift: 1.564, conv: 1.071)
{beverages} -> {whole milk} (conf: 0.262, supp: 0.007, lift: 1.024, conv: 1.008)
{beverages} -> {yogurt} (conf: 0.211, supp: 0.005, lift: 1.512, conv: 1.091)
{bottled water} -> {bottled beer} (conf: 0.143, supp: 0.016, lift: 1.771, conv: 1.072)
{bottled beer} -> {bottled water} (conf: 0.196, supp: 0.016, lift: 1.771, conv: 1.106)
{butter} -> {bottled beer} (conf: 0.105, supp: 0.006, lift: 1.299, conv: 1.027)
{canned fish} -> {bottled beer} (conf: 0.122, supp: 0.002, lift: 1.510, conv: 1.047)
{herbs} -> {bottled beer} (conf: 0.119, supp: 0.002, lift: 1.475, conv: 1.043)
{liquor} -> {bottled beer} (conf: 0.422, supp: 0.005, lift: 5.241, conv: 1.591)
{liquor (appetizer)} -> {bottled beer} (conf: 0.231, supp: 0.002, lift: 2.866, conv: 1.195)
{margarine} -> {bottled beer} (conf: 0.104, supp: 0.006, lift: 1.294, conv: 1.026)
{oil} -> {bottled beer} (conf: 0.123, supp: 0.003, lift: 1.530, conv: 1.049)
{onions} -> {bottled beer} (conf: 0.108, supp: 0.003, lift: 1.344, conv: 1.031)
{bottled beer} -> {other vegetables} (conf: 0.201, supp: 0.016, lift: 1.038, conv: 1.009)
{pickled vegetables} -> {bottled beer} (conf: 0.108, supp: 0.002, lift: 1.341, conv: 1.031)
{red/blush wine} -> {bottled beer} (conf: 0.254, supp: 0.005, lift: 3.154, conv: 1.232)
{roll products } -> {bottled beer} (conf: 0.178, supp: 0.002, lift: 2.213, conv: 1.119)
{bottled beer} -> {rolls/buns} (conf: 0.169, supp: 0.014, lift: 0.920, conv: 0.982)
{bottled beer} -> {root vegetables} (conf: 0.120, supp: 0.010, lift: 1.100, conv: 1.012)
{salt} -> {bottled beer} (conf: 0.160, supp: 0.002, lift: 1.992, conv: 1.095)
{bottled beer} -> {soda} (conf: 0.211, supp: 0.017, lift: 1.209, conv: 1.046)
{sugar} -> {bottled beer} (conf: 0.102, supp: 0.003, lift: 1.268, conv: 1.024)
{bottled beer} -> {tropical fruit} (conf: 0.102, supp: 0.008, lift: 0.975, conv: 0.997)
{white wine} -> {bottled beer} (conf: 0.118, supp: 0.002, lift: 1.461, conv: 1.042)
{bottled beer} -> {whole milk} (conf: 0.254, supp: 0.020, lift: 0.993, conv: 0.998)
{bottled beer} -> {yogurt} (conf: 0.115, supp: 0.009, lift: 0.824, conv: 0.972)
{brown bread} -> {bottled water} (conf: 0.127, supp: 0.008, lift: 1.149, conv: 1.019)
{butter} -> {bottled water} (conf: 0.161, supp: 0.009, lift: 1.461, conv: 1.061)
{butter milk} -> {bottled water} (conf: 0.135, supp: 0.004, lift: 1.217, conv: 1.028)
{cake bar} -> {bottled water} (conf: 0.138, supp: 0.002, lift: 1.253, conv: 1.032)
{candy} -> {bottled water} (conf: 0.122, supp: 0.004, lift: 1.108, conv: 1.014)
{canned beer} -> {bottled water} (conf: 0.103, supp: 0.008, lift: 0.936, conv: 0.992)
{cat food} -> {bottled water} (conf: 0.192, supp: 0.004, lift: 1.738, conv: 1.101)
{chewing gum} -> {bottled water} (conf: 0.130, supp: 0.003, lift: 1.180, conv: 1.023)
{chicken} -> {bottled water} (conf: 0.123, supp: 0.005, lift: 1.115, conv: 1.014)
{chocolate} -> {bottled water} (conf: 0.117, supp: 0.006, lift: 1.057, conv: 1.007)
{citrus fruit} -> {bottled water} (conf: 0.163, supp: 0.014, lift: 1.478, conv: 1.063)
{bottled water} -> {citrus fruit} (conf: 0.122, supp: 0.014, lift: 1.478, conv: 1.045)
{cling film/bags} -> {bottled water} (conf: 0.170, supp: 0.002, lift: 1.535, conv: 1.071)
{coffee} -> {bottled water} (conf: 0.126, supp: 0.007, lift: 1.141, conv: 1.018)
{cream cheese } -> {bottled water} (conf: 0.149, supp: 0.006, lift: 1.346, conv: 1.045)
{curd} -> {bottled water} (conf: 0.115, supp: 0.006, lift: 1.036, conv: 1.004)
{dessert} -> {bottled water} (conf: 0.140, supp: 0.005, lift: 1.264, conv: 1.034)
{detergent} -> {bottled water} (conf: 0.122, supp: 0.002, lift: 1.101, conv: 1.013)
{dishes} -> {bottled water} (conf: 0.121, supp: 0.002, lift: 1.098, conv: 1.012)
{domestic eggs} -> {bottled water} (conf: 0.144, supp: 0.009, lift: 1.305, conv: 1.039)
{flour} -> {bottled water} (conf: 0.158, supp: 0.003, lift: 1.429, conv: 1.056)
{frankfurter} -> {bottled water} (conf: 0.124, supp: 0.007, lift: 1.123, conv: 1.016)
{frozen meals} -> {bottled water} (conf: 0.111, supp: 0.003, lift: 1.005, conv: 1.001)
{frozen vegetables} -> {bottled water} (conf: 0.129, supp: 0.006, lift: 1.167, conv: 1.021)
{fruit/vegetable juice} -> {bottled water} (conf: 0.197, supp: 0.014, lift: 1.782, conv: 1.108)
{bottled water} -> {fruit/vegetable juice} (conf: 0.129, supp: 0.014, lift: 1.782, conv: 1.065)
{grapes} -> {bottled water} (conf: 0.195, supp: 0.004, lift: 1.768, conv: 1.106)
{ham} -> {bottled water} (conf: 0.113, supp: 0.003, lift: 1.025, conv: 1.003)
{hard cheese} -> {bottled water} (conf: 0.145, supp: 0.004, lift: 1.314, conv: 1.041)
{herbs} -> {bottled water} (conf: 0.188, supp: 0.003, lift: 1.696, conv: 1.095)
{hygiene articles} -> {bottled water} (conf: 0.173, supp: 0.006, lift: 1.564, conv: 1.075)
{ice cream} -> {bottled water} (conf: 0.106, supp: 0.003, lift: 0.956, conv: 0.995)
{long life bakery product} -> {bottled water} (conf: 0.114, supp: 0.004, lift: 1.033, conv: 1.004)
{margarine} -> {bottled water} (conf: 0.175, supp: 0.010, lift: 1.587, conv: 1.079)
{meat} -> {bottled water} (conf: 0.118, supp: 0.003, lift: 1.069, conv: 1.009)
{misc. beverages} -> {bottled water} (conf: 0.186, supp: 0.005, lift: 1.686, conv: 1.093)
{mustard} -> {bottled water} (conf: 0.169, supp: 0.002, lift: 1.534, conv: 1.071)
{napkins} -> {bottled water} (conf: 0.165, supp: 0.009, lift: 1.493, conv: 1.065)
{newspapers} -> {bottled water} (conf: 0.141, supp: 0.011, lift: 1.279, conv: 1.036)
{bottled water} -> {newspapers} (conf: 0.102, supp: 0.011, lift: 1.279, conv: 1.025)
{oil} -> {bottled water} (conf: 0.149, supp: 0.004, lift: 1.344, conv: 1.045)
{onions} -> {bottled water} (conf: 0.190, supp: 0.006, lift: 1.721, conv: 1.098)
{other vegetables} -> {bottled water} (conf: 0.128, supp: 0.025, lift: 1.160, conv: 1.020)
{bottled water} -> {other vegetables} (conf: 0.224, supp: 0.025, lift: 1.160, conv: 1.040)
{packaged fruit/vegetables} -> {bottled water} (conf: 0.203, supp: 0.003, lift: 1.838, conv: 1.116)
{pasta} -> {bottled water} (conf: 0.135, supp: 0.002, lift: 1.223, conv: 1.028)
{pastry} -> {bottled water} (conf: 0.101, supp: 0.009, lift: 0.910, conv: 0.989)
{pickled vegetables} -> {bottled water} (conf: 0.170, supp: 0.003, lift: 1.542, conv: 1.072)
{pip fruit} -> {bottled water} (conf: 0.140, supp: 0.011, lift: 1.265, conv: 1.034)
{pork} -> {bottled water} (conf: 0.129, supp: 0.007, lift: 1.165, conv: 1.021)
{pot plants} -> {bottled water} (conf: 0.147, supp: 0.003, lift: 1.331, conv: 1.043)
{processed cheese} -> {bottled water} (conf: 0.141, supp: 0.002, lift: 1.277, conv: 1.036)
{red/blush wine} -> {bottled water} (conf: 0.169, supp: 0.003, lift: 1.532, conv: 1.071)
{rolls/buns} -> {bottled water} (conf: 0.132, supp: 0.024, lift: 1.190, conv: 1.024)
{bottled water} -> {rolls/buns} (conf: 0.219, supp: 0.024, lift: 1.190, conv: 1.045)
{root vegetables} -> {bottled water} (conf: 0.144, supp: 0.016, lift: 1.300, conv: 1.039)
{bottled water} -> {root vegetables} (conf: 0.142, supp: 0.016, lift: 1.300, conv: 1.038)
{salty snack} -> {bottled water} (conf: 0.116, supp: 0.004, lift: 1.046, conv: 1.006)
{sausage} -> {bottled water} (conf: 0.128, supp: 0.012, lift: 1.155, conv: 1.020)
{bottled water} -> {sausage} (conf: 0.109, supp: 0.012, lift: 1.155, conv: 1.016)
{semi-finished bread} -> {bottled water} (conf: 0.144, supp: 0.003, lift: 1.300, conv: 1.039)
{shopping bags} -> {bottled water} (conf: 0.111, supp: 0.011, lift: 1.008, conv: 1.001)
{sliced cheese} -> {bottled water} (conf: 0.158, supp: 0.004, lift: 1.427, conv: 1.056)
{soda} -> {bottled water} (conf: 0.166, supp: 0.029, lift: 1.504, conv: 1.067)
{bottled water} -> {soda} (conf: 0.262, supp: 0.029, lift: 1.504, conv: 1.119)
{soft cheese} -> {bottled water} (conf: 0.125, supp: 0.002, lift: 1.131, conv: 1.017)
{specialty bar} -> {bottled water} (conf: 0.100, supp: 0.003, lift: 0.908, conv: 0.989)
{specialty cheese} -> {bottled water} (conf: 0.202, supp: 0.002, lift: 1.831, conv: 1.115)
{specialty chocolate} -> {bottled water} (conf: 0.130, supp: 0.004, lift: 1.180, conv: 1.023)
{spread cheese} -> {bottled water} (conf: 0.200, supp: 0.002, lift: 1.810, conv: 1.112)
{sugar} -> {bottled water} (conf: 0.141, supp: 0.005, lift: 1.277, conv: 1.036)
{tropical fruit} -> {bottled water} (conf: 0.176, supp: 0.019, lift: 1.596, conv: 1.080)
{bottled water} -> {tropical fruit} (conf: 0.167, supp: 0.019, lift: 1.596, conv: 1.075)
{waffles} -> {bottled water} (conf: 0.111, supp: 0.004, lift: 1.005, conv: 1.001)
{whipped/sour cream} -> {bottled water} (conf: 0.122, supp: 0.009, lift: 1.104, conv: 1.013)
{white bread} -> {bottled water} (conf: 0.104, supp: 0.004, lift: 0.940, conv: 0.993)
{white wine} -> {bottled water} (conf: 0.209, supp: 0.004, lift: 1.887, conv: 1.124)
{whole milk} -> {bottled water} (conf: 0.135, supp: 0.034, lift: 1.217, conv: 1.028)
{bottled water} -> {whole milk} (conf: 0.311, supp: 0.034, lift: 1.217, conv: 1.080)
{yogurt} -> {bottled water} (conf: 0.165, supp: 0.023, lift: 1.490, conv: 1.065)
{bottled water} -> {yogurt} (conf: 0.208, supp: 0.023, lift: 1.490, conv: 1.086)
{butter} -> {brown bread} (conf: 0.105, supp: 0.006, lift: 1.612, conv: 1.044)
{butter milk} -> {brown bread} (conf: 0.135, supp: 0.004, lift: 2.074, conv: 1.081)
{canned fish} -> {brown bread} (conf: 0.155, supp: 0.002, lift: 2.396, conv: 1.107)
{citrus fruit} -> {brown bread} (conf: 0.101, supp: 0.008, lift: 1.553, conv: 1.040)
{brown bread} -> {citrus fruit} (conf: 0.129, supp: 0.008, lift: 1.553, conv: 1.053)
{cream cheese } -> {brown bread} (conf: 0.123, supp: 0.005, lift: 1.897, conv: 1.066)
{dessert} -> {brown bread} (conf: 0.129, supp: 0.005, lift: 1.985, conv: 1.073)
{domestic eggs} -> {brown bread} (conf: 0.107, supp: 0.007, lift: 1.655, conv: 1.048)
{brown bread} -> {domestic eggs} (conf: 0.105, supp: 0.007, lift: 1.655, conv: 1.046)
{frankfurter} -> {brown bread} (conf: 0.121, supp: 0.007, lift: 1.860, conv: 1.063)
{brown bread} -> {frankfurter} (conf: 0.110, supp: 0.007, lift: 1.860, conv: 1.057)
{frozen meals} -> {brown bread} (conf: 0.100, supp: 0.003, lift: 1.547, conv: 1.039)
{fruit/vegetable juice} -> {brown bread} (conf: 0.115, supp: 0.008, lift: 1.778, conv: 1.057)
{brown bread} -> {fruit/vegetable juice} (conf: 0.129, supp: 0.008, lift: 1.778, conv: 1.065)
{grapes} -> {brown bread} (conf: 0.100, supp: 0.002, lift: 1.542, conv: 1.039)
{ham} -> {brown bread} (conf: 0.102, supp: 0.003, lift: 1.566, conv: 1.041)
{margarine} -> {brown bread} (conf: 0.111, supp: 0.007, lift: 1.713, conv: 1.052)
{brown bread} -> {margarine} (conf: 0.100, supp: 0.007, lift: 1.713, conv: 1.046)
{meat} -> {brown bread} (conf: 0.150, supp: 0.004, lift: 2.306, conv: 1.100)
{brown bread} -> {newspapers} (conf: 0.118, supp: 0.008, lift: 1.473, conv: 1.043)
{onions} -> {brown bread} (conf: 0.105, supp: 0.003, lift: 1.617, conv: 1.045)
{brown bread} -> {other vegetables} (conf: 0.288, supp: 0.019, lift: 1.491, conv: 1.133)
{pastry} -> {brown bread} (conf: 0.109, supp: 0.010, lift: 1.674, conv: 1.049)
{brown bread} -> {pastry} (conf: 0.149, supp: 0.010, lift: 1.674, conv: 1.070)
{pickled vegetables} -> {brown bread} (conf: 0.108, supp: 0.002, lift: 1.664, conv: 1.048)
{pip fruit} -> {brown bread} (conf: 0.101, supp: 0.008, lift: 1.554, conv: 1.040)
{brown bread} -> {pip fruit} (conf: 0.118, supp: 0.008, lift: 1.554, conv: 1.047)
{brown bread} -> {rolls/buns} (conf: 0.194, supp: 0.013, lift: 1.057, conv: 1.013)
{brown bread} -> {root vegetables} (conf: 0.157, supp: 0.010, lift: 1.438, conv: 1.057)
{sausage} -> {brown bread} (conf: 0.114, supp: 0.011, lift: 1.752, conv: 1.055)
{brown bread} -> {sausage} (conf: 0.165, supp: 0.011, lift: 1.752, conv: 1.085)
{brown bread} -> {shopping bags} (conf: 0.143, supp: 0.009, lift: 1.448, conv: 1.051)
{sliced cheese} -> {brown bread} (conf: 0.116, supp: 0.003, lift: 1.791, conv: 1.058)
{brown bread} -> {soda} (conf: 0.194, supp: 0.013, lift: 1.115, conv: 1.025)
{soft cheese} -> {brown bread} (conf: 0.119, supp: 0.002, lift: 1.835, conv: 1.061)
{spread cheese} -> {brown bread} (conf: 0.155, supp: 0.002, lift: 2.382, conv: 1.106)
{tropical fruit} -> {brown bread} (conf: 0.102, supp: 0.011, lift: 1.568, conv: 1.041)
{brown bread} -> {tropical fruit} (conf: 0.165, supp: 0.011, lift: 1.568, conv: 1.071)
{white bread} -> {brown bread} (conf: 0.111, supp: 0.005, lift: 1.713, conv: 1.052)
{brown bread} -> {whole milk} (conf: 0.389, supp: 0.025, lift: 1.521, conv: 1.218)
{yogurt} -> {brown bread} (conf: 0.104, supp: 0.015, lift: 1.607, conv: 1.044)
{brown bread} -> {yogurt} (conf: 0.224, supp: 0.015, lift: 1.607, conv: 1.109)
{cat food} -> {butter} (conf: 0.105, supp: 0.002, lift: 1.891, conv: 1.055)
{chicken} -> {butter} (conf: 0.135, supp: 0.006, lift: 2.437, conv: 1.092)
{butter} -> {chicken} (conf: 0.105, supp: 0.006, lift: 2.437, conv: 1.069)
{chocolate} -> {butter} (conf: 0.125, supp: 0.006, lift: 2.256, conv: 1.080)
{butter} -> {chocolate} (conf: 0.112, supp: 0.006, lift: 2.256, conv: 1.070)
{citrus fruit} -> {butter} (conf: 0.111, supp: 0.009, lift: 1.995, conv: 1.062)
{butter} -> {citrus fruit} (conf: 0.165, supp: 0.009, lift: 1.995, conv: 1.099)
{cream cheese } -> {butter} (conf: 0.103, supp: 0.004, lift: 1.851, conv: 1.053)
{curd} -> {butter} (conf: 0.128, supp: 0.007, lift: 2.307, conv: 1.083)
{butter} -> {curd} (conf: 0.123, supp: 0.007, lift: 2.307, conv: 1.079)
{detergent} -> {butter} (conf: 0.116, supp: 0.002, lift: 2.101, conv: 1.069)
{domestic eggs} -> {butter} (conf: 0.152, supp: 0.010, lift: 2.747, conv: 1.114)
{butter} -> {domestic eggs} (conf: 0.174, supp: 0.010, lift: 2.747, conv: 1.134)
{flour} -> {butter} (conf: 0.129, supp: 0.002, lift: 2.322, conv: 1.084)
{frozen vegetables} -> {butter} (conf: 0.121, supp: 0.006, lift: 2.175, conv: 1.074)
{butter} -> {frozen vegetables} (conf: 0.105, supp: 0.006, lift: 2.175, conv: 1.063)
{fruit/vegetable juice} -> {butter} (conf: 0.111, supp: 0.008, lift: 2.005, conv: 1.063)
{butter} -> {fruit/vegetable juice} (conf: 0.145, supp: 0.008, lift: 2.005, conv: 1.085)
{grapes} -> {butter} (conf: 0.109, supp: 0.002, lift: 1.969, conv: 1.060)
{ham} -> {butter} (conf: 0.121, supp: 0.003, lift: 2.185, conv: 1.075)
{hamburger meat} -> {butter} (conf: 0.131, supp: 0.004, lift: 2.373, conv: 1.088)
{hard cheese} -> {butter} (conf: 0.162, supp: 0.004, lift: 2.920, conv: 1.127)
{herbs} -> {butter} (conf: 0.169, supp: 0.003, lift: 3.045, conv: 1.136)
{hygiene articles} -> {butter} (conf: 0.133, supp: 0.004, lift: 2.395, conv: 1.089)
{long life bakery product} -> {butter} (conf: 0.117, supp: 0.004, lift: 2.109, conv: 1.070)
